date,end_date,name,country_code,year,status,date_status,source_urls
2026-01-01,2026-01-03,元旦,CN,2026,statutory,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2026-02-07,,二・七記念日,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2026-02-15,2026-02-23,春節,CN,2026,statutory,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2026-03-08,,国際女性デー,CN,2026,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2026-03-12,,植樹節,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/2019-12/28/content_5464840.htm
2026-04-04,2026-04-06,清明節,CN,2026,statutory,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2026-05-01,2026-05-05,労働節,CN,2026,statutory,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2026-05-04,,青年節,CN,2026,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2026-05-12,,国際看護師の日,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/2020-05/26/content_5515100.htm
2026-05-30,,五・三〇記念日,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2026-06-01,,児童節,CN,2026,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2026-06-19,2026-06-21,端午節,CN,2026,statutory,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2026-07-07,,七・七抗日戦争記念日,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2026-08-01,,建軍記念日,CN,2026,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2026-09-03,,中国人民抗日戦争勝利記念日,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2026-09-10,,教師節,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/202508/content_7038098.htm
2026-09-18,,九・一八記念日,CN,2026,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2026-09-25,2026-09-27,中秋節,CN,2026,statutory,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2026-09-30,,烈士記念日,CN,2026,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202309/content_6907102.htm
2026-10-01,2026-10-07,国慶節,CN,2026,statutory,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2026-12-13,,南京大虐殺犠牲者国家追悼日,CN,2026,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202412/content_6992401.htm
