date,end_date,name,country_code,year,status,date_status,source_urls
2027-01-01,,元日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-01-11,,成人の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-02-11,,建国記念の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178 https://laws.e-gov.go.jp/law/341CO0000000376
2027-02-23,,天皇誕生日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-03-21,,春分の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178 https://www.nao.ac.jp/faq/a0301.html
2027-03-22,,振替休日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-04-29,,昭和の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-05-03,,憲法記念日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-05-04,,みどりの日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-05-05,,こどもの日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-07-19,,海の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-08-11,,山の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-09-20,,敬老の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-09-23,,秋分の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178 https://www.nao.ac.jp/faq/a0301.html
2027-10-11,,スポーツの日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-11-03,,文化の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-11-23,,勤労感謝の日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-12-29,2028-01-03,年末年始,JP,2027,discretionary,confirmed,https://laws.e-gov.go.jp/law/363AC0000000091
