date,end_date,name,country_code,year,status,date_status,source_urls
2026-01-01,,元日,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-01-19,,マーティン・ルーサー・キング・ジュニア牧師記念日,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-02-16,,ワシントン誕生日,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-05-25,,戦没将兵追悼記念日,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-06-19,,ジューンティーンス奴隷解放記念日,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-07-03,,独立記念日,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-09-07,,レイバーデー,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-10-12,,コロンブス・デー,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-11-11,,復員軍人の日,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-11-26,,感謝祭,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
2026-12-25,,クリスマス,US,2026,statutory,confirmed,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partIII-subpartE-chap61-subchapI-sec6103.htm https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
